"id","Time","Source","Destination","Protocol","Length","Info","Destination Port","Source Port"
"1","2013-11-08 15:40:35.589144","192.168.2.68","255.255.255.255","DB-LSP-DISC","189","Dropbox LAN sync Discovery Protocol","db-lsp-disc","db-lsp-disc"
"2","2013-11-08 15:40:35.589271","192.168.2.68","192.168.2.255","DB-LSP-DISC","189","Dropbox LAN sync Discovery Protocol","db-lsp-disc","db-lsp-disc"
"3","2013-11-08 15:40:35.788360","192.168.2.67","192.168.2.255","BJNP","58","Scanner Command: Discover","canon-bjnp2","54289"
"4","2013-11-08 15:40:35.788363","192.168.2.67","224.0.0.1","BJNP","58","Printer Command: Unknown code (2)","canon-bjnp2","54535"
"5","2013-11-08 15:40:37.434770","Avm_9a:66:36","Apple_0b:4d:6e","ARP","60","Who has 192.168.2.67?  Tell 192.168.2.1","",""
"6","2013-11-08 15:40:37.434817","Apple_0b:4d:6e","Avm_9a:66:36","ARP","42","192.168.2.67 is at 00:26:bb:0b:4d:6e","",""
"7","2013-11-08 15:40:38.046882","192.168.2.78","192.168.2.255","BJNP","58","Scanner Command: Discover","canon-bjnp2","56844"
"8","2013-11-08 15:40:38.046887","192.168.2.78","224.0.0.1","BJNP","58","Printer Command: Unknown code (2)","canon-bjnp2","51863"
"9","2013-11-08 15:40:38.812156","192.168.2.67","64.4.23.151","TCP","68","51190 > 40026 [PSH, ACK] Seq=1 Ack=1 Win=33120 Len=2 TSval=196746430 TSecr=2312175529","40026","51190"
"10","2013-11-08 15:40:39.006080","64.4.23.151","192.168.2.67","TCP","66","40026 > 51190 [ACK] Seq=1 Ack=3 Win=83 Len=0 TSval=2312193260 TSecr=196746430","51190","40026"
"11","2013-11-08 15:40:39.006161","192.168.2.67","64.4.23.151","TCP","525","51190 > 40026 [PSH, ACK] Seq=3 Ack=1 Win=33120 Len=459 TSval=196746623 TSecr=2312193260","40026","51190"
"12","2013-11-08 15:40:39.017664","192.168.2.67","157.55.130.144","UDP","187","Source port: 36283  Destination port: 40002","40002","36283"
"13","2013-11-08 15:40:39.020842","192.168.2.67","192.168.2.10","DNS","80","Standard query 0x5dae  A design.fh-potsdam.de","domain","49216"
"14","2013-11-08 15:40:39.145114","157.55.130.144","192.168.2.67","UDP","63","Source port: 40002  Destination port: 36283","36283","40002"
"15","2013-11-08 15:40:39.197378","64.4.23.151","192.168.2.67","TCP","66","40026 > 51190 [ACK] Seq=1 Ack=462 Win=83 Len=0 TSval=2312193308 TSecr=196746623","51190","40026"
"16","2013-11-08 15:40:39.197591","64.4.23.151","192.168.2.67","TCP","70","40026 > 51190 [PSH, ACK] Seq=1 Ack=462 Win=83 Len=4 TSval=2312193308 TSecr=196746623","51190","40026"
"17","2013-11-08 15:40:39.197649","192.168.2.67","64.4.23.151","TCP","66","51190 > 40026 [ACK] Seq=462 Ack=5 Win=33118 Len=0 TSval=196746811 TSecr=2312193308","40026","51190"
"18","2013-11-08 15:40:39.275604","192.168.2.81","239.255.255.250","SSDP","329","NOTIFY * HTTP/1.1 ","ssdp","ssdp"
"19","2013-11-08 15:40:39.582979","192.168.2.80","192.168.2.255","BJNP","60","Scanner Command: Discover","canon-bjnp2","58321"
